# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 994  of event 'cpu_atom/cycles/u'
# Event count (approx.): 21634007141
#
# Children      Self  Command  Shared Object                 Symbol
# ........  ........  .......  ............................  ................................................
#
     0.10%     0.10%  luajit   luajit                        [.] arena_prepare_bump_tail.part.0
     0.10%     0.10%  luajit   luajit                        [.] lj_BC_CALL
     0.10%     0.10%  luajit   luajit                        [.] lj_BC_ADDVV
     0.10%     0.00%  luajit   luajit                        [.] gc2_expected_type_scoped_status.constprop.0
     0.10%     0.00%  luajit   luajit                        [.] gc2_weak_candidate_tab_scoped_status
     0.10%     0.00%  luajit   luajit                        [.] lj_gc2_weak_snapshot_clear
     0.10%     0.10%  luajit   luajit                        [.] arena_find_run
     0.10%     0.10%  luajit   luajit                        [.] lj_gc2_smr_read_leave
     0.10%     0.10%  luajit   luajit                        [.] tab_resize_desc_chain_valid
     0.10%     0.00%  luajit   luajit                        [.] gc2_idle_transition_handshake.part.0.isra.0
     0.10%     0.00%  luajit   luajit                        [.] lj_gc2_reclaim_retired
     0.10%     0.00%  luajit   luajit                        [.] lj_tab_reclaim_retired
     0.10%     0.10%  luajit   luajit                        [.] arena_clear_marks_list
     0.10%     0.00%  luajit   luajit                        [.] lj_arena_alloc_clear_marks
     0.10%     0.00%  luajit   luajit                        [.] lj_arena_dtor_construct_commit_pair
     0.10%     0.10%  luajit   luajit                        [.] lj_BC_CSET
     0.10%     0.10%  luajit   luajit                        [.] lj_BC_CGET
     0.10%     0.10%  luajit   luajit                        [.] gc_root_publish_claimed
     0.10%     0.10%  luajit   luajit                        [.] lj_thr_get_tg_fallback
     0.10%     0.10%  luajit   luajit                        [.] lj_arena_reclaim_unseal
     0.10%     0.10%  luajit   luajit                        [.] gc2_activation_matches_legacy
     0.10%     0.00%  luajit   luajit                        [.] lj_gc2_activation_reclaim_veto
     0.10%     0.10%  luajit   luajit                        [.] gc2_grey_empty.part.0
     0.10%     0.00%  luajit   luajit                        [.] gc2_mark_table_child_obj_worker
     0.10%     0.10%  luajit   luajit                        [.] lj_arena_rescue_leave
     0.10%     0.10%  luajit   memfd:luajit-mcode (deleted)  [.] 0x000000000000fb65
     0.10%     0.00%  luajit   memfd:luajit-mcode (deleted)  [.] 0x00005645642cfb65
     0.10%     0.00%  luajit   luajit                        [.] gc2_scan_global_roots.part.0
     0.10%     0.00%  luajit   luajit                        [.] gc2_thread_root_rescan_marked_obj.part.0
     0.10%     0.00%  luajit   luajit                        [.] lj_gc_pubroot
     0.10%     0.00%  luajit   luajit                        [.] lj_vm_gc2_pubroot
     0.10%     0.00%  luajit   luajit                        [.] lj_gc2_markobj_nogrey
     0.10%     0.10%  luajit   luajit                        [.] lj_str_gc2_sweep_step
     0.09%     0.00%  luajit   luajit                        [.] tab_array_snapshot_gc_impl
     0.08%     0.00%  luajit   luajit                        [.] lj_arena_hugetab_mark_reader_acquire
     0.04%     0.04%  luajit   luajit                        [.] lj_strfmt_putfnum
     0.04%     0.00%  luajit   memfd:luajit-mcode (deleted)  [.] 0x00005645642cff9b
     0.03%     0.00%  luajit   luajit                        [.] arena_set_alloc
     0.03%     0.00%  luajit   luajit                        [.] gc_mem_newgco_raw_nothrow
     0.03%     0.00%  luajit   luajit                        [.] lj_arena_alloc
     0.03%     0.00%  luajit   luajit                        [.] lj_mem_newgco_raw
     0.03%     0.00%  luajit   luajit                        [.] lj_str_alloc
     0.03%     0.00%  luajit   luajit                        [.] lj_str_new
     0.03%     0.00%  luajit   memfd:luajit-mcode (deleted)  [.] 0x00005645642cffa3
     0.02%     0.00%  luajit   luajit                        [.] lj_trace_exit
     0.02%     0.00%  luajit   luajit                        [.] lj_vm_exit_handler
     0.02%     0.00%  luajit   [unknown]                     [.] 0x4948145d5a5e5715
     0.01%     0.00%  luajit   luajit                        [.] lj_tab_trystoretv_cas_keyed
     0.01%     0.00%  luajit   luajit                        [.] luaL_openlibs
     0.01%     0.00%  luajit   luajit                        [.] lua_setfield
     0.01%     0.00%  luajit   luajit                        [.] meta_tsettv_pair_mode


#
# (Tip: To change sampling frequency to 100 Hz: perf record -F 100)
#
